Hugo_Symbol	Entrez_Gene_Id	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZPIC-1126-SM-5BC7F	GTEX-ZC5H-2626-SM-5J2MG	GTEX-W5X1-2326-SM-3GIL6	GTEX-S341-1526-SM-4AD6K	GTEX-T6MO-0326-SM-32QOK	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-SE5C-2126-SM-4BRUJ	GTEX-S4UY-0726-SM-4AD6X	GTEX-12WSK-2226-SM-5GCO5	GTEX-ZYWO-2326-SM-5GZY4	GTEX-TMMY-0726-SM-33HBE	GTEX-14AS3-1626-SM-5S2OY	GTEX-YB5K-1626-SM-5IFIN	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-TML8-1226-SM-32QON
KIF1C	10749	1199.98	2303.12	1286.18	1617	1883.54	2271.4	1073.91	3874.05	3540.14	2133.97	2537.92	2485.67	1781.89	1437.15	3639.7	2645.74	1745.2	3395.89	1685.71
SWAP70	23075	836.53	808	1030.12	1769.57	769.69	842.36	647.07	1322.37	447.82	669.92	1388.16	769.69	1167.14	708.18	503.95	1159.07	1242.34	915.51	1143.1
PAK1	5058	1407.55	339.14	1304.15	775.05	988.12	753.83	460.44	182.55	518.15	389.72	417.77	356.05	954.43	775.05	307.69	109.66	423.61	265.87	884.29
KRTAP9-1	728318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHM3	389072	78.89	81.71	186.4	93.35	51.35	102.97	4.9	50.63	23.08	128.79	89.51	41.22	58.71	17	99.43	52.08	87.65	51.35	84.04
MCFD2	90411	1286.18	1896.65	1183.45	1896.65	1359.57	2061.24	2075.59	1572.76	1991	1447.15	2061.24	1233.75	2758.13	1199.98	1407.55	1467.37	1467.37	1561.89	1540.37
RBM12	10137	890.44	660.68	1175.27	642.59	753.83	591.22	571.05	466.88	651.58	884.29	688.78	450.94	988.12	497	583.07	389.72	890.44	466.88	848.22
KRT86	3892	31	16.51	25.35	7.63	43.02	23.25	18.56	6.21	12.45	12.93	1.99	6.57	16.39	116.78	4.03	0	15.8	0	13.52
PSMD12	5718	802.41	1037.29	429.54	1697.45	620.67	909.17	878.17	860.08	483.38	567.1	1359.57	587.13	1304.15	638.15	791.35	1447.15	780.44	733.19	819.3
SLC7A11	23657	36.27	3.38	2.84	6.41	17.77	5.19	5.87	1.89	14.67	13.52	0.36	2.36	11.73	3.41	5.5	0	2.01	1.81	6.46
BTN3A1	11119	1794.29	379.04	1135.2	1304.15	854.13	473.41	373.81	193.01	242.88	536.45	232.94	224.97	563.18	348.71	226.54	287.01	295.11	620.67	1467.37
SFTPB	6439	6.26	5.59	16.15	8.13	0	3.96	1.48	0	14.45	1.41	8.92	13.22	14.24	0	5.77	6.46	2.27	6.52	6.89
LPIN1	23175	389.72	1561.89	343.89	379.04	547.75	2591.27	536.45	244.57	1331.57	1199.98	400.71	563.18	559.28	149.12	3443.31	1175.27	532.74	329.84	656.11
NT5C1A	84618	0	0	0	2.41	0	0	0	0	0	0	0	0	0	0	2.66	1.43	1.39	0	2.41
L3MBTL2	83746	511	320.8	500.46	409.15	595.34	429.54	412	287.01	470.14	412	197.09	389.72	420.68	490.14	366.09	271.48	295.11	450.94	521.76
SLC9A9	285195	141.02	336.79	153.34	532.74	149.12	110.43	67.12	343.89	45.53	85.82	395.18	287.01	129.69	164.42	114.36	161.02	152.28	414.87	312
ST7L	54879	551.56	303.44	532.74	791.35	476.71	260.38	312	209.84	368.65	403.5	339.14	232.94	379.04	395.18	264.03	285.03	327.56	237.86	595.34
SYT2	127833	3.44	1.16	5.15	2.14	1.69	5.59	0	2.39	0	2.94	1.27	1.27	2.63	0	0.91	2.89	3.72	0.95	2.43
CACNA2D4	93589	44.57	111.21	45.85	57.08	80.57	37.85	127	126.12	40.93	98.04	36.53	74.06	37.32	48.87	88.88	124.37	129.69	78.34	162.14
ZNF84	7637	830.75	444.72	674.59	775.05	624.99	336.79	525.39	256.78	312	529.06	389.72	295.11	769.69	285.03	289.02	191.67	373.81	231.32	543.96
RBP2	5948	6.21	0	0	0	0	0	0	0	0	3.79	0	4.17	0	0	0	6.16	0	3.32	19.11
HLA-DQB1	3119	3303	403.5	5329.3	2271.4	1397.83	54.72	890.44	2645.74	743.43	1008.9	1950	1794.29	514.56	273.37	825	2287.2	237.86	285.03	3349.13
DPP4	1803	59.55	620.67	217.27	2451.44	2061.24	60.82	142.01	780.44	234.57	115.97	2502.97	507.46	1250.98	212.78	48.52	85.22	551.56	397.93	297.17
LRRC36	55282	14.67	4.74	8.71	15.11	20.56	7.69	2.23	0.47	8.51	5.73	8.99	9.85	4.98	18.56	12.93	2.2	9.56	2.53	15.8
ATP5D	513	1001.93	3103.19	1662.49	480.04	1407.55	1651	2520.38	2777.33	3742.05	2004.85	1977.24	5255.91	825	6792.79	4038.61	1340.84	2090.03	2875.3	633.73
LAMB3	3914	4481.23	1073.91	6652.97	941.27	656.11	1322.37	2004.85	563.18	3794.3	507.46	169.07	152.28	1721.16	4181.07	866.07	217.27	1781.89	642.59	2209.26
MRPL34	64981	802.41	2287.2	1457.23	703.28	1199.98	1757.34	1167.14	2209.26	2104.58	1745.2	1322.37	2664.15	607.87	2417.67	3589.58	1477.58	1242.34	1757.34	647.07
C19orf57	79173	171.45	19.53	197.09	87.65	112.77	120.1	99.43	20.56	53.57	94.67	23.25	61.25	95.34	173.85	33.78	7.28	130.6	16.75	72.52
BNIP3L	665	1467.37	5711.87	1519.15	2451.44	2104.58	5041.77	3168.41	3515.68	2956.17	6561.36	3443.31	2816.11	3443.31	1397.83	7749.1	7642.41	4903.87	3018.3	2209.26
NT5DC2	64943	656.11	497	567.1	395.18	802.41	866.07	748.61	400.71	2520.38	1540.37	297.17	1199.98	934.76	2133.97	607.87	303.44	412	1268.46	954.43
CFP	5199	29.7	353.59	36.27	47.17	161.02	62.56	76.17	65.26	63	128.79	303.44	107.38	111.99	204.07	74.58	19.25	81.14	115.97	139.07
C4orf47	441054	129.69	19.25	92.7	77.25	36.79	18.29	74.06	12.45	29.91	63	15.56	29.91	43.02	26.67	12.27	3.17	24.11	6.21	102.97
TSFM	10102	961.07	1216.75	1088.92	563.18	698.41	928.3	854.13	743.43	1167.14	836.53	684.02	974.5	796.86	1119.56	866.07	1051.79	536.45	780.44	693.58
DDR1	780	2701.35	1427.22	3665.02	1143.1	2400.97	2956.17	2004.85	703.28	1950	3614.55	884.29	954.43	1832.01	2303.12	1540.37	2075.59	1936.53	961.07	2119.22
MEIS3	56917	189.02	107.38	336.79	98.04	1096.5	171.45	536.45	242.88	198.47	271.48	802.41	521.76	316.37	376.41	389.72	31.45	507.46	256.78	255
OR2H2	7932	2.73	0.23	0.97	0.84	1.06	0.84	2.86	0.35	4.03	0.39	0.35	0.35	2.25	0	0	0.21	0.85	0	0.19
SCNN1G	6340	166.73	14.89	175.07	8.38	63	117.6	65.72	5.77	10.16	40.93	66.18	16.15	69.52	75.64	1.23	4.13	74.58	1.75	26.28
KIF1B	23095	698.41	432.53	470.14	848.22	575.03	629.35	329.84	503.95	301.33	447.82	688.78	253.23	708.18	63	212.78	260.38	348.71	325.29	796.86
